Class,Turf_filamentous (turfil),turf_sedimented (tursed),Others_cca (othcca),Peyssonnelia_cca (pescca),Sand_unstable_substrate (sandus),Sinularia/Cladiella/Klyxum_... (sindig),Thalassia_hemprichii_seagrass (thalhem),Favites_encrusting (faienc),Montipora_encrusting (monenc),Porites_encrusting (potenc),Acropora_tabular (acrtab),Montipora_foliose (monfol),Porites_massive (potmas),Shadow_TWS (shatws),Pocillopora_bushy (pocbus),limestone_stable_substrate (limess),Sponge_encrusting (spoenc),silt_unstable_substrate (siltus),Acropora_arborescent (acrarb),Palythoa_massive (palmas),Dipsastraea_encrusting (dipenc),Red_algae_corticated_foliose (redcof),Platygyra_encrusting (plaenc),Palythoa_encrusting (palenc),Pachyseris_encrusting (pacenc),Cyphastrea_encrusting (cypenc),Litophyton_bushy (litbus),Sarcophyton_lobate (sarlob),Marginisporum_articulated_c... (marart),rubble_unstable_substrate (rubbus),Porites_columnar (potcol),Acropora (bushy) (acrbus),Crinoidae_other_life (crioth),Clavularia_clustered (claclu),Cyanobacteria_filamentous (cyafil),Millepora_encrusting (milenc),Acropora_encrusting (acrenc),Sponge_massive (spomas),Goniastrea_encrusting (gonenc),Isopora_encrusting (ispenc),Stylophora_bushy (stybus),Unknown_TWS (unktws),Echinophyllia_encrusting (echenc),Echinopora_foliose (ecofol),Padina_corticated_foliose (padcof),Seriatopora_bushy (serbus),Platygyra_massive (plamas),Laurencia_corticated_macrop... (laucom),hard_coral_encrusting (hacenc),Favites_massive (faimas),OTHER
Acropora_tabular (acrtab),2,8,2,3,0,8,2,0,0,0,217,1,0,1,0,0,1,0,0,17,0,0,12,1,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Shadow_TWS (shatws),29,33,4,9,6,1,2,0,0,0,0,154,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,7,2,0,0,0,0,0,0,0,0,0,5
Porites_massive (potmas),6,4,1,0,0,0,35,13,0,0,1,5,173,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Montipora_foliose (monfol),2,4,1,0,0,0,2,28,0,0,2,0,0,208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
limestone_stable_substrate (limess),50,23,35,6,5,0,2,3,0,0,1,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponge_encrusting (spoenc),47,3,15,28,0,4,2,5,0,0,0,4,0,0,1,74,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,6
Pocillopora_bushy (pocbus),4,0,1,0,0,0,0,2,1,0,3,0,0,0,0,1,157,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dipsastraea_encrusting (dipenc),4,5,0,3,2,44,0,0,0,0,0,1,0,0,0,0,0,65,0,0,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26
silt_unstable_substrate (siltus),22,38,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acropora_arborescent (acrarb),7,6,1,1,0,0,0,5,0,0,15,0,0,0,1,0,2,0,0,94,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,6
Palythoa_massive (palmas),7,5,1,0,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,81,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Platygyra_encrusting (plaenc),9,1,1,1,0,32,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,27
Cyphastrea_encrusting (cypenc),6,3,0,1,1,0,14,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,21
Palythoa_encrusting (palenc),4,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,3,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Red_algae_corticated_foliose (redcof),11,2,4,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora_encrusting (acrenc),4,3,0,2,1,0,1,10,3,0,37,0,0,1,0,0,1,0,0,1,0,0,2,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2
Pachyseris_encrusting (pacenc),2,0,0,0,0,0,0,9,0,0,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,8
Sarcophyton_lobate (sarlob),2,10,0,0,0,0,2,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
rubble_unstable_substrate (rubbus),17,7,5,5,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marginisporum_articulated_c... (marart),5,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Litophyton_bushy (litbus),8,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Acropora (bushy) (acrbus),4,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,36,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cyanobacteria_filamentous (cyafil),22,7,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Millepora_encrusting (milenc),6,2,1,3,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Porites_columnar (potcol),4,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Clavularia_clustered (claclu),3,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Isopora_encrusting (ispenc),1,4,0,1,0,0,0,13,0,0,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,3,0,0,0,0,1,0,0,0,0,5
Crinoidae_other_life (crioth),3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,4
Sponge_massive (spomas),5,0,1,2,1,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1
Unknown_TWS (unktws),2,21,0,1,3,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Echinophyllia_encrusting (echenc),1,6,0,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,5,0,0,1,0,2
hard_coral_encrusting (hacenc),13,1,2,2,0,2,3,11,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2
Goniastrea_encrusting (gonenc),1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,2
Stylophora_bushy (stybus),2,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0,0,0,0,0,5
Seriatopora_bushy (serbus),1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,22,0,0,0,0,0,4
Echinopora_foliose (ecofol),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4
Astreopora_encrusting (astenc),5,6,2,1,0,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Laurencia_corticated_macrop... (laucom),22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
Echinopora_encrusting (ecoenc),0,6,0,1,0,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,4
Padina_corticated_foliose (padcof),2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
OTHER,59,76,17,11,9,64,24,18,21,0,4,7,1,0,4,5,1,26,1,1,3,6,11,4,0,0,1,9,3,0,3,0,1,2,7,1,2,0,3,0,2,0,3,2,0,0,0,0,0,4,233
